transaction_id,account_id,transaction_ts,type,amount,currency,category,merchant,payment_method,status,city,country,ingested_at
7b941c84-6359-4ac2-8f4a-c25126805acb,ACC-01009,2025-03-02T03:08:21,DEBIT,-49.51,EUR,Groceries,Carrefour,SEPA,SETTLED,Madrid,ES,2025-10-28T13:48:15
e5897144-24c7-499b-a79c-c1edad26152a,ACC-01004,2025-01-11T06:03:12,DEBIT,-41.58,EUR,Shopping,Zara,CARD,SETTLED,Leeds,GB,2025-10-28T13:48:14
715b4162-ba97-4523-8e01-670e2432510f,ACC-01002,2025-05-30T21:10:01,DEBIT,-89.25,EUR,Healthcare,Pharmacie Centrale,CARD,SETTLED,Rome,IT,2025-10-28T13:48:15
6d37838c-19c1-4bca-b200-e707a3dc5c61,ACC-01009,2024-12-29T20:21:46,DEBIT,-58.76,EUR,Groceries,Lidl,PAYPAL,SETTLED,Birmingham,GB,2025-10-28T13:48:14
afec30a7-c493-4d59-af6b-7f9a010f8fdf,ACC-01006,2025-07-28T07:58:19,DEBIT,-17.44,EUR,Transport,Uber,CARD,SETTLED,Brussels,BE,2025-10-28T13:48:15
a7a40537-2866-4027-a644-aa040e528ff0,ACC-01002,2024-12-09T16:12:11,DEBIT,-801.5,EUR,Rent,Residence Belleville,CARD,SETTLED,Vancouver,CA,2025-10-28T13:48:15
92c28e37-a19d-4718-b4fa-46c52a12fb78,ACC-01005,2024-12-03T22:50:32,DEBIT,-9.82,USD,shopping,Fnac,SEPA,SETTLED,Toronto,CA,2025-10-28T13:48:15
4486a397-2a6f-4560-a550-3464a2fdca4c,ACC-01010,2025-09-26T23:20:50,DEBIT,-86.91,EUR,Education,Coursera,SEPA,SETTLED,Berlin,DE,2025-10-28T13:48:14
6a0c805f-e14d-4b3f-8e24-bb23a2ae5bd5,ACC-01009,2025-07-07T03:18:31,DEBIT,-40.48,EUR,Groceries,Lidl,CARD,SETTLED,London,GB,2025-10-28T13:48:15
531601cc-c95f-450d-9d7d-d51c1b775ad0,ACC-01007,2025-05-11T20:09:00,DEBIT,-62.01,EUR,Healthcare,Pharmacie Centrale,CARD,SETTLED,Seattle,US,2025-10-28T13:48:15
d88db4c9-3f82-47c8-b827-8ba839227b6b,ACC-01007,2025-07-13T02:24:19,DEBIT,-11.31,EUR,Healthcare,Clinique Pasteur,CARD,SETTLED,Bordeaux,FR,2025-10-28T13:48:14
78ed78fe-19db-4967-ae7c-fdbb97046502,ACC-01009,2025-01-04T01:03:19,DEBIT,-19.79,EUR,Entertainment,Cinema Gaumont,CARD,SETTLED,Madrid,ES,2025-10-28T13:48:15
15fbc2d0-58ca-48f6-87fa-0a808371c190,ACC-01001,2025-01-11T08:10:16,DEBIT,-1150.32,EUR,Rent,Residence Belleville,SEPA,SETTLED,Lyon,FR,2025-10-28T13:48:15
f0700260-4619-417b-a167-88458eefc628,ACC-01001,2025-05-29T00:14:45,DEBIT,-74.84,EUR,Utilities,Orange,CARD,SETTLED,Bordeaux,FR,2025-10-28T13:48:15
9da6b8e8-c178-41b2-ab66-b3efb7cd5f28,ACC-01002,2024-12-30T15:36:49,DEBIT,-68.33,EUR,Groceries,,CASH,SETTLED,Amsterdam,NL,2025-10-28T13:48:15
3ebb4d26-921c-4c11-8ca0-6feddfe764ce,ACC-01007,2025-05-20T20:17:19,DEBIT,-46.66,EUR,Healthcare,Doctolib,SEPA,SETTLED,Leeds,GB,2025-10-28T13:48:14
10fb2516-7350-44ce-afcc-89459a0fb3aa,ACC-01009,2025-01-07T05:37:29,DEBIT,-60.47,EUR,Restaurants,Starbucks,CARD,PENDING,San Francisco,US,2025-10-28T13:48:15
a2d2d427-aeef-40c6-9769-078d386bd2f7,ACC-01008,2025-07-20T02:41:21,DEBIT,-31.26,EUR,Travel,Booking.com,CARD,SETTLED,Lisbon,PT,2025-10-28T13:48:15
a4ffc29b-4750-48b4-b820-0a17f64f14b4,ACC-01004,2024-11-13T17:32:09,DEBIT,-72.09,EUR,Healthcare,Pharmacie Centrale,CARD,SETTLED,Naples,IT,2025-10-28T13:48:15
09b52d05-f50b-44e0-9337-e4d1c96333d9,ACC-01008,2025-09-27T13:14:08,DEBIT,-13.27,EUR,Restaurants,McDonalds,CARD,SETTLED,Chicago,US,2025-10-28T13:48:14
0818a44e-ef63-4e62-a4c8-fc8925dc6233,ACC-01007,2025-06-10T12:40:20,DEBIT,-1107.04,EUR,Rent,Appartement Jules Ferry,CARD,SETTLED,Lyon,FR,2025-10-28T13:48:15
a4accecc-ea57-4e0c-919a-b87edcd07fb7,ACC-01005,2025-03-17T03:04:34,DEBIT,-3.74,EUR,Restaurants,KFC,CARD,SETTLED,Seville,ES,2025-10-28T13:48:15
abcf32b1-3efd-44c1-aa10-1b2077314ed6,ACC-01004,2025-10-13T19:53:02,CREDIT,1986.34,EUR,Salary,TechCorp SAS,CARD,FAILED,Porto,PT,2025-10-28T13:48:15
acd619db-47c3-4aa0-a87c-95cc9dac6293,ACC-01010,2025-01-04T08:15:26,DEBIT,-154.2,GBP,Healthcare,Pharmacie Centrale,CARD,SETTLED,Amsterdam,NL,2025-10-28T13:48:15
3a0cc2ad-9bce-48bf-b886-8966250ccc6a,ACC-01008,2024-12-27T13:24:42,DEBIT,-121.32,EUR,Utilities,SFR,WIRE,PENDING,Lyon,FR,2025-10-28T13:48:15
60e4a39f-37c5-4d20-bf9e-fff534c3509c,ACC-01002,2025-04-30T09:19:44,DEBIT,-31.42,USD,Transport,Bolt,CARD,SETTLED,Manchester,GB,2025-10-28T13:48:15
9f2b3394-1066-4382-b851-628f4c30b3f8,ACC-01002,2025-06-29T06:01:59,DEBIT,-11.41,EUR,Entertainment,Spotify,PAYPAL,SETTLED,Brussels,BE,2025-10-28T13:48:15
b4ee8f63-11a5-4ea9-957c-dc196f7e4639,ACC-01009,2025-08-05T20:20:14,CREDIT,4001.9,GBP,Salary,TechCorp SAS,CASH,PENDING,Munich,DE,2025-10-28T13:48:15
2e391182-6ede-4d66-92de-37249f7726cf,ACC-01009,2025-05-12T11:07:33,DEBIT,-1257.56,EUR,Rent,Appartement Jules Ferry,CARD,SETTLED,Amsterdam,NL,2025-10-28T13:48:15
f0cef9b5-153f-4164-8d40-75de79b3b4bb,ACC-01002,2025-03-10T06:13:31,DEBIT,-67.07,USD,Utilities,Engie,SEPA,SETTLED,Antwerp,BE,2025-10-28T13:48:14
96289ecc-bc88-45a6-bd8e-d98c5ecc6a66,ACC-01009,2025-02-24T18:16:19,DEBIT,-50.14,EUR,Restaurants,Subway,WIRE,SETTLED,Munich,DE,2025-10-28T13:48:14
d58413fa-c2b5-495f-b672-854a115fdefd,ACC-01003,2024-11-09T12:19:19,CREDIT,2578.21,EUR,Salary,YourCompany SARL,CARD,SETTLED,Paris,FR,2025-10-28T13:48:15
da90e3e6-4f77-40ab-8ec9-c2c9b20dcd04,ACC-01003,2024-12-05T10:17:58,DEBIT,-22.18,EUR,Restaurants,McDonalds,WIRE,SETTLED,Rome,IT,2025-10-28T13:48:15
823f83d5-fa85-4346-81e5-35d53dfd898f,ACC-01002,2025-02-17T17:19:46,DEBIT,-62.73,EUR,Restaurants,Starbucks,WIRE,PENDING,Cologne,DE,2025-10-28T13:48:15
d50aac08-a4c2-4439-9d5c-238687f9d3ee,ACC-01008,2025-09-04T04:17:20,DEBIT,-92.82,USD,Utilities,Engie,WIRE,FAILED,Chicago,US,2025-10-28T13:48:15
c8c6f717-f125-4702-8ca3-6fd9f417c76a,ACC-01007,2025-03-15T11:20:31,DEBIT,-101.23,EUR,Utilities,Orange,CARD,SETTLED,Munich,DE,2025-10-28T13:48:15
5174fb6e-f59a-4eaf-94f9-3c2974a4efa8,ACC-01007,2025-08-22T23:14:11,DEBIT,-250.79,EUR,Education,Coursera,CARD,SETTLED,Hamburg,DE,2025-10-28T13:48:15
